Year,Month,Year2,Month2,Winter mean temperature anomaly
1956,6,1956,8,-1.55
1916,6,1916,8,-1.19
1929,6,1929,8,-1.09
1960,6,1960,8,-1.01
1990,6,1990,8,-1.01
1931,6,1931,8,-0.99
1925,6,1925,8,-0.97
1920,6,1920,8,-0.96
1955,6,1955,8,-0.94
1951,6,1951,8,-0.92
1935,6,1935,8,-0.86
1943,6,1943,8,-0.86
1922,6,1922,8,-0.83
1911,6,1911,8,-0.77
1927,6,1927,8,-0.77
1966,6,1966,8,-0.75
1968,6,1968,8,-0.74
1917,6,1917,8,-0.68
1910,6,1910,8,-0.67
1937,6,1937,8,-0.65
1926,6,1926,8,-0.63
1986,6,1986,8,-0.62
1932,6,1932,8,-0.6
1923,6,1923,8,-0.55
1953,6,1953,8,-0.54
1981,6,1981,8,-0.54
1924,6,1924,8,-0.5
1958,6,1958,8,-0.5
2016,6,2016,8,-0.49
1946,6,1946,8,-0.48
1973,6,1973,8,-0.47
1939,6,1939,8,-0.4
1936,6,1936,8,-0.39
1934,6,1934,8,-0.34
1942,6,1942,8,-0.34
1954,6,1954,8,-0.34
1989,6,1989,8,-0.3
2008,6,2008,8,-0.3
1938,6,1938,8,-0.28
1993,6,1993,8,-0.28
1952,6,1952,8,-0.26
1965,6,1965,8,-0.26
2010,6,2010,8,-0.26
1913,6,1913,8,-0.21
1971,6,1971,8,-0.21
1984,6,1984,8,-0.21
1933,6,1933,8,-0.15
1969,6,1969,8,-0.15
1918,6,1918,8,-0.14
1961,6,1961,8,-0.13
1967,6,1967,8,-0.11
1912,6,1912,8,-0.1
1975,6,1975,8,-0.07
1928,6,1928,8,-0.03
1978,6,1978,8,-0.03
1914,6,1914,8,-0.02
1919,6,1919,8,-0.02
2005,6,2005,8,-0.01
1979,6,1979,8,0
1963,6,1963,8,0.01
1974,6,1974,8,0.03
1982,6,1982,8,0.03
1957,6,1957,8,0.04
1972,6,1972,8,0.04
1950,6,1950,8,0.11
2003,6,2003,8,0.14
1970,6,1970,8,0.15
1947,6,1947,8,0.17
2001,6,2001,8,0.18
2004,6,2004,8,0.19
1945,6,1945,8,0.23
1980,6,1980,8,0.23
1998,6,1998,8,0.24
2023,6,2023,8,0.26
1997,6,1997,8,0.28
1944,6,1944,8,0.29
2000,6,2000,8,0.33
1988,6,1988,8,0.35
2009,6,2009,8,0.37
1995,6,1995,8,0.39
1940,6,1940,8,0.45
2002,6,2002,8,0.46
1948,6,1948,8,0.47
1987,6,1987,8,0.47
2018,6,2018,8,0.47
1915,6,1915,8,0.49
1976,6,1976,8,0.49
2006,6,2006,8,0.5
2022,6,2022,8,0.5
2012,6,2012,8,0.51
1930,6,1930,8,0.53
1999,6,1999,8,0.55
1964,6,1964,8,0.56
2021,6,2021,8,0.56
1992,6,1992,8,0.57
1962,6,1962,8,0.61
1991,6,1991,8,0.67
1994,6,1994,8,0.68
1996,6,1996,8,0.71
2019,6,2019,8,0.73
1977,6,1977,8,0.75
1941,6,1941,8,0.76
1921,6,1921,8,0.78
2017,6,2017,8,0.78
2013,6,2013,8,0.81
1985,6,1985,8,0.82
2011,6,2011,8,0.99
2015,6,2015,8,1.01
2007,6,2007,8,1.06
1949,6,1949,8,1.09
2014,6,2014,8,1.11
2020,6,2020,8,1.17
1983,6,1983,8,1.18
1959,6,1959,8,1.23